brand,product_code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
Eat Natural,5013803666002,Dark chocolate bar with cranberries and macadamias,188.8,789.94,21.0,16.0,10.0,8.0,2.0,3.4,0.01,0.0,4.0,19.0,51.0,0.76,Medium,High,True
"Crownfield,Lidl,Brüggen",20884291,Muesli Croccante,282.0,1179.89,43.0,7.0,8.0,1.0,7.0,5.0,0.4,0.16,4.0,7.0,0.0,0.16,Medium,Medium,True
Wasa,7300400129206,Wasa delicate thin crackers sea salt 180g we,435.8,1823.39,68.0,13.0,13.0,2.1,9.0,5.4,1.8,0.72,4.0,15.0,6.7,0.19,High,Medium,True
Pringles,5053990127733,Pringles,525.4,2198.27,56.0,2.3,31.0,2.9,4.2,2.8,1.9,0.76,2.2,17.0,0.0,0.04,High,Low,False
Misura,8002590043315,Fibrextra,447.4,1871.92,59.0,20.0,17.0,1.9,8.6,12.0,0.67,0.27,4.0,9.0,0.0,0.34,High,High,True
Twinings,5055953903033,Infusion Ayurveda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,48.9,0.0,Low,Low,True
"Lidl,Sondey,Inter Biscuits",20005542,Butterkeks Mit Vollmilch Schokolade,505.6,2115.43,57.6,35.3,26.0,16.6,7.7,5.2,0.67,0.27,4.0,27.0,0.0,0.61,High,High,True
Leclerc,3564706612822,Muesli,439.4,1838.45,65.0,24.0,14.0,3.9,9.6,7.5,0.12,0.05,4.0,9.0,0.0,0.37,High,High,True
Bellarom,20083786,Goody Cao,381.9,1597.87,78.9,75.8,3.3,1.7,5.4,7.5,0.11,0.04,4.0,3.4,0.0,0.96,High,High,True
"Bio Village, Marque Repère",3564707166980,Biscotte,401.0,1677.78,72.0,3.0,5.4,0.6,13.0,6.2,0.03,0.01,4.0,-3.0,0.0,0.04,High,Low,True
"Italia, Ponti",8001010076568,Glassa all’Aceto Balsamico di Modena I.G.P.,223.2,933.87,54.0,50.0,0.0,0.0,1.1,1.4,0.17,0.07,4.0,15.0,50.0,0.93,Medium,High,True
Elephant,8711327501119,Infusion à froid Detox cranberry framboise hibiscus,13.7,57.32,0.5,0.5,0.5,0.1,0.5,2.6,0.01,0.0,4.0,0.0,44.62,1.0,Low,Low,True
Fleury Michon,3302740047336,Le Supérieur A l'Etouffé,120.4,503.75,0.5,0.5,2.8,1.0,22.0,2.6,1.48,0.59,4.0,6.0,2.97,1.0,Medium,Low,True
Hacendado,8480000134516,Cacahuete tostado 0% sal añadida,618.0,2585.71,13.0,6.2,50.4,6.0,24.0,8.2,0.0,0.0,1.0,-9.0,100.0,0.48,High,Medium,False
REWE Bio,4337256112925,Körniger Frischkäse,90.8,379.91,1.0,0.0,4.0,2.6,12.7,0.0,0.0,0.0,3.0,-2.0,0.0,0.0,Low,Low,False
Sodebo,3242272270256,Pastabox Carbonara,167.2,699.56,17.0,1.9,7.6,3.7,7.1,1.2,0.66,0.26,4.0,6.0,0.25,0.11,Medium,Low,True
Nature Valley,8410076601735,Nature Valley CRUNCHY,484.2,2025.89,64.3,26.8,19.8,3.4,8.7,7.0,0.0,0.0,4.0,11.0,0.0,0.42,High,High,True
Gallo,8410069014382,Pesto a base de albahaca,477.0,1995.77,9.0,6.7,46.0,5.5,5.8,1.9,3.33,1.33,4.0,27.0,40.3,0.74,High,Medium,True
Hacendado,8480000050632,Arroz largo,350.6,1466.91,78.0,0.3,0.8,0.3,6.5,2.7,0.1,0.04,1.0,3.0,0.0,0.0,High,Low,False
Snacks of the world,8711299020427,Kingsize Peanuts Unsalted,603.76,2526.13,11.0,5.8,50.0,6.8,26.0,2.88,0.0,0.0,3.0,-3.0,96.0,0.53,High,Medium,False
Milbona,20094508,Crefee mit feinen  Kräutern,248.2,1038.47,3.0,3.0,23.0,16.1,6.0,2.6,1.3,0.52,4.0,17.0,1.95,1.0,Medium,Low,True
"Crownfield,Lidl,Brüggen",4056489255499,Schoko Müsli,410.2,1716.28,60.7,17.5,11.8,5.0,11.2,8.2,0.09,0.04,4.0,9.0,0.06,0.29,High,High,True
GrissinBon,8001405000024,Le Fresche Biscottate Integrali,394.2,1649.33,68.0,4.5,5.8,0.9,13.0,9.0,1.5,0.6,3.0,7.0,0.0,0.07,High,Low,False
Doritos,3168930166078,Doritos Salsa douce,35.2,147.28,6.6,4.7,0.2,0.1,1.4,0.7,1.5,0.6,4.0,3.0,95.88,0.71,Low,Low,True
DANONE AS,5411188115434,"Alpro Sojadrink, Barista 1L",42.3,176.98,2.7,2.5,1.9,0.3,3.3,0.6,0.1,0.04,4.0,-2.0,8.7,0.93,Low,Low,True
Natural Happiness,8711299020724,Noix de cajou,587.0,2456.01,22.6,6.1,46.6,9.1,19.3,0.0,0.0,0.0,1.0,-2.0,100.0,0.27,High,Medium,False
gullon,8410376039375,Cuor di Cereale,445.6,1864.39,70.0,16.0,14.0,1.3,6.9,6.0,1.1,0.44,4.0,12.0,0.0,0.23,High,High,True
"LEAN&GREEN,Vit.Hit,Vithit",5034033000220,Hit Lean & Green Apple + Elderflower + Maté Tea + L-Carnitine,13.1,54.81,1.4,1.3,0.5,0.1,0.5,0.5,0.01,0.0,4.0,6.0,12.0,0.93,Low,Low,True
Mulino Bianco,8076809580618,Nascondini mb 330g int. eu,483.4,2022.55,65.0,26.0,21.0,9.0,6.7,3.8,0.38,0.15,4.0,21.0,0.0,0.4,High,High,True
Exquisa,4019300170005,Скир натурален,61.8,258.57,4.0,4.0,0.2,0.1,11.0,0.0,0.08,0.03,4.0,-3.0,0.0,1.0,Low,Low,True
Hacendado,8480000707413,Ciclamato y sacarina,5.2,21.76,0.0,0.0,0.0,0.0,0.0,2.6,3.0,1.2,4.0,2.0,0.0,0.0,Low,Low,True
Teisseire,3092718637989,BID 60CL CITRON TESSEIRE ZERO,11.6,48.53,2.9,0.5,0.0,0.0,0.0,0.0,0.03,0.01,4.0,2.2,10.0,0.17,Low,Low,True
Skippy,37600110754,Peanut Butter,200.0,836.8,6.0,3.0,16.0,3.0,7.0,2.0,0.38,0.15,4.0,8.0,87.69,0.5,Medium,Low,True
Aldi,4088600008103,Crunchy Peanut Butter,619.4,2591.57,12.0,3.6,50.0,9.3,29.0,2.7,0.01,0.0,1.0,-2.0,100.0,0.3,High,Low,False
Violife,5202390015885,Tranches saveur Cheddar,59.0,246.86,4.4,0.0,4.6,4.2,0.0,0.0,0.5,0.2,4.0,25.0,1.25,0.0,Low,Low,True
Panzani,3038351165007,Panzani Spaghetti n.5,353.2,1477.79,72.0,3.7,2.0,0.35,10.0,3.6,0.0,0.0,3.2,0.0,0.0,0.05,High,Low,False
Cadbury,5034660021537,Cadbury hot chocolate,400.4,1675.27,76.0,73.0,5.8,3.4,6.4,9.3,0.02,0.01,4.0,3.4,0.0,0.96,High,High,True
"HERTA, Le Bon Paris",3154230810100,HERTA LE BON PARIS Jambon sel réduit sans nitrite x2 -70g,112.8,471.96,0.8,0.0,2.4,1.0,22.0,0.0,1.5,0.6,4.0,6.0,0.0,0.0,Medium,Low,True
Tesco,5000436872542,Mixed Nuts and Raisins,142.8,597.48,4.0,3.2,11.2,1.4,5.7,1.6,0.02,0.01,3.0,11.0,98.66,0.8,Medium,Low,False
Florelli,3760077538482,Pesto alla Genovese,410.0,1715.44,4.1,0.5,42.0,4.7,3.4,1.0,2.1,0.84,3.0,18.0,54.51,0.12,High,Low,False
"Doritos, Pepsico",5601363001168,Snack Aper Matutano Doritos Tex-Mex 120g,495.8,2074.43,56.9,2.3,25.8,3.1,6.6,4.8,0.97,0.39,4.0,11.0,0.0,0.04,High,Low,True
"Highgate Fayre, Lidl",20436568,Clear Honey,329.0,1376.54,82.0,81.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,19.0,0.0,0.99,High,High,False
Snack a Jacks,5000108880646,Snacks a Jacks Chocolate Chip Rice Cakes 180g,49.4,206.69,9.1,3.0,0.8,0.4,0.8,1.3,30.8,12.32,4.0,2.0,0.0,0.33,Low,Low,True
Danone,3033490006396,Skyr fraise,79.8,333.88,9.7,9.0,0.2,0.1,8.5,2.6,0.08,0.03,4.0,-1.0,5.94,0.93,Low,Medium,True
"Emporium,Aldi",4088600048437,British Mature Cheddar,418.0,1748.91,0.5,0.5,35.0,22.0,25.0,0.5,1.8,0.72,3.0,16.0,0.0,1.0,High,Low,False
Auchan,3596710508594,Biscottes complète sans sucres ajoutés,375.9,1572.77,61.0,3.4,5.1,0.6,16.0,11.0,1.5,0.6,4.0,6.0,0.21,0.06,High,Low,True
Milko,5900820001353,Kefir,46.3,193.72,4.6,4.6,1.5,1.0,3.6,0.0,0.1,0.04,1.0,-1.0,0.0,1.0,Low,Low,False
Moser Roth,4088600201825,Organic Peruvian 85% Cocoa Dark Chocolate,598.0,2502.03,24.0,13.0,48.0,29.0,11.0,13.0,0.01,0.0,3.0,15.0,0.0,0.54,High,Medium,False
KP,5000237127346,KP Dry Roasted Peanuts,176.2,737.22,2.2,1.5,14.0,2.3,9.0,2.7,0.0,0.0,4.0,-7.0,99.96,0.68,Medium,Low,True
Coral,8410712000212,Galleta boer sabor coco,477.86,1999.37,69.9,36.78,19.66,10.03,4.59,1.48,0.15,0.06,4.0,25.0,0.0,0.53,High,High,True
Nakd,5060088703168,Bakewell Tart Bar,138.1,577.81,18.0,16.0,5.5,1.0,2.8,2.7,0.01,0.0,4.0,12.0,100.0,0.89,Medium,High,True
Amora,8720182462046,Amora Moutarde Douce Verre de Table 230g,191.8,802.49,5.7,4.4,16.0,1.1,5.2,2.1,4.4,1.76,4.0,24.0,5.68,0.77,Medium,Low,True
"The Foodie Market, Aldi",4088600268781,Seed mix (Semi),576.0,2409.98,12.8,1.4,46.2,6.0,22.9,8.7,0.03,0.01,1.0,-10.0,35.0,0.11,High,Low,False
Nature Valley,8410076611284,Avoine & miel,392.4,1641.8,68.8,15.8,8.0,1.9,7.2,8.2,0.45,0.18,4.0,6.0,4.0,0.23,High,High,True
Flora,8719200234826,Flora Rica en Omega 3,534.2,2235.09,0.4,0.4,59.0,13.0,0.4,0.0,0.2,0.08,4.0,7.0,32.8,1.0,High,Low,True
WILLIAM SAURIN,3261055951441,Riz coco curry et poulet rôti,151.4,633.46,22.0,1.1,4.2,1.7,5.6,1.6,0.98,0.39,4.0,4.0,19.66,0.05,Medium,Low,True
Pipers,5033060100149,Pipers Lye Cross Cheddar & Onion Crisps,533.0,2230.07,56.1,1.5,30.8,3.5,6.2,3.3,1.55,0.62,4.0,15.0,0.0,0.03,High,Low,True
Mondariz,8412042502398,Agua Mineral Natural,79.08,330.87,2.15,21.1,4.2,0.3,6.82,2.7,27.1,10.84,1.0,0.0,0.0,9.81,Low,High,False
Allinson's,5015821122393,Dried Active Yeast,257.7,1078.22,43.82,20.2,6.42,16.46,4.86,2.6,13.38,5.35,4.0,7.4,0.0,0.46,Medium,High,True
Ginsters,5010718215011,Cornish Pasty,262.7,1099.14,23.5,1.8,15.3,7.2,6.5,2.5,0.9,0.36,3.0,14.0,4.3,0.08,Medium,Low,False
Sainsbury,1217155,6 British Free Range Eggs,82.16,343.76,0.0,0.16,5.28,1.48,7.76,1.8,69.9,27.96,2.2,-0.4,0.0,0.0,Low,Low,False
Bonne Maman,3045320094091,Wild Blueberry Conserve,241.1,1008.76,59.0,59.0,0.1,0.04,0.3,1.5,0.0,0.0,4.0,16.6,54.69,1.0,Medium,High,True
Orangina,8435185962379,Orangina zero,9.0,37.66,1.4,1.2,0.1,0.0,0.0,1.25,25.0,10.0,3.6,2.0,2.51,0.86,Low,Low,False
The Paleo Foods Co.,5060375300124,Pecan & Almond Grain-Free Granola,623.0,2606.63,19.9,9.4,53.0,20.8,15.3,2.6,0.0,0.0,4.0,19.0,70.0,0.47,High,Medium,True
Chergui,6111126004071,Finesse cereale,64.1,268.19,10.4,0.0,0.3,0.0,4.7,0.5,0.0,0.0,2.6,-1.0,0.0,0.0,Low,Low,False
Granola,7622201751722,Granola cookie cœur extra moelleux,488.2,2042.63,60.0,33.0,25.0,14.0,4.6,2.4,0.74,0.3,4.0,28.0,0.0,0.55,High,High,True
Belbake,20035846,Strong White Bread Flour,366.8,1534.69,75.3,1.4,1.4,0.2,11.7,3.1,35.84,14.34,1.0,-0.8,0.0,0.02,High,Low,False
Lustucru,3760341070052,Long grain incollable,357.6,1496.2,79.0,0.4,1.0,0.2,7.5,1.3,0.01,0.0,4.0,-1.0,0.0,0.01,High,Low,True
"Lidl, Alesto",4056489238805,Pumpkin seeds,579.4,2424.21,15.2,1.1,45.6,7.0,24.4,5.3,0.05,0.02,3.2,-7.0,0.0,0.07,High,Low,False
Natures Path Organic,58449770565,Pumpkin Seed & Flax,270.17,1130.39,37.02,10.01,10.01,1.5,6.0,4.0,0.11,0.04,3.0,9.0,0.46,0.27,Medium,Medium,False
Brooklea,4088600284958,Greek style natural yoghurt,119.6,500.41,4.3,3.4,10.0,6.4,3.1,0.0,0.09,0.04,1.0,6.0,0.0,0.79,Medium,Low,False
Ben's,5010034013681,Basmati,154.8,647.68,31.0,0.5,1.8,0.2,3.4,0.5,0.0,0.0,3.0,0.0,0.0,0.02,Medium,Low,False
Arla,6413300018035,Protein Raspberry Yogurt,72.6,303.76,6.4,6.0,0.2,0.1,10.0,2.6,0.28,0.11,4.0,4.4,19.48,0.94,Low,Medium,True
"Aldi, Bramwells",4088600243627,Vegetable Stock Cubes,7.3,30.54,0.4,0.0,0.5,0.3,0.1,0.4,0.85,0.34,4.0,0.6,4.5,0.0,Low,Low,True
Sainsbury's,1644432,Parmigiano Reggiano D.O.P,399.9,1673.18,0.5,0.5,29.7,19.6,32.4,0.5,1.4,0.56,3.0,14.0,0.0,1.0,High,Low,False
Cully&Sully,5391511420780,Smoked haddock & salmon chowder,85.26,356.73,7.3,1.6,4.3,2.5,2.9,2.88,0.64,0.26,3.0,5.0,16.48,0.22,Low,Low,False
Rostoy,8410261775234,Melocotón,62.56,261.75,13.9,13.9,0.0,0.0,0.3,2.88,0.02,0.01,3.0,12.0,60.0,1.0,Low,Medium,False
Loyd Grossman,5000354910678,Tomato & Basil,53.2,222.59,6.0,5.1,2.2,0.2,1.6,1.5,0.75,0.3,3.0,-1.0,97.01,0.85,Low,Medium,False
Hula hoops,5000237138342,Hula Hoops salted,231.36,968.01,28.0,0.5,12.0,1.1,1.4,2.88,0.71,0.28,3.0,15.0,0.0,0.02,Medium,Low,False
Nature Valley,8410076611291,Oaty & Crispy Avoine & Cacao x 5 barres de 23 g,388.3,1624.65,66.8,16.5,8.1,1.8,7.5,9.1,0.44,0.18,4.0,6.0,0.11,0.25,High,High,True
Tesco,3284193,Balsamic Drizzle,27.6,115.48,6.7,6.7,0.0,0.04,0.1,0.2,0.32,0.13,4.0,5.2,41.25,1.0,Low,Medium,True
Asda,5057172110827,Extra Special Wholemeal Multigrain Sliced Loaf,129.0,539.74,18.0,1.3,2.8,0.4,6.0,3.9,0.3,0.12,3.0,-3.0,0.07,0.07,Medium,Low,False
ne3ma,8906021927697,Pure Honey Ani3ma,106.16,444.17,26.04,21.8,0.0,0.0,0.5,0.0,73.42,29.37,2.0,0.2,0.0,0.84,Medium,High,False
Go Raw,810032300463,Organic Sprouted Pumpkin Seeds,183.0,765.67,3.0,0.0,15.0,2.5,8.0,2.0,0.45,0.18,3.0,2.0,99.25,0.0,Medium,Low,False
Marks & Spencer,29360642,collection crafted white sourdough,224.2,938.05,42.7,2.5,1.0,0.2,9.6,3.0,0.0,0.0,3.0,-1.0,0.0,0.06,Medium,Low,False
Jaouda,6111242106703,Jutos,40.0,167.36,10.0,8.0,0.0,0.0,0.0,0.0,20.0,8.0,2.4,23.0,35.0,0.8,Low,Medium,False
Arla,8718166007628,Protein yoghurt strawberry,73.4,307.11,5.7,5.3,0.6,0.4,10.0,2.6,0.13,0.05,4.0,-3.0,5.0,0.93,Low,Medium,True
Gullón,8410376053128,Maria,432.2,1808.32,75.0,0.5,11.0,1.3,7.0,2.6,1.0,0.4,4.0,8.0,0.0,0.01,High,Low,True
Unknown Brand,6111243860161,Ice pomme 33cl,59.7,249.78,14.3,14.3,0.0,0.0,0.0,1.25,1.6,0.64,3.6,16.0,0.0,1.0,Low,Medium,False
Sainsbury's,74988,Strawberry Conserve,256.2,1071.94,60.9,57.8,0.6,0.3,0.5,2.6,0.13,0.05,4.0,18.0,20.0,0.95,Medium,High,True
M&S,29296088,Sunflower and spelt loaf,281.5,1177.8,36.0,1.9,7.7,0.7,12.2,9.7,0.78,0.31,4.0,-4.0,0.0,0.05,Medium,Low,True
Hacendado,8402001012068,Yogur Griego,155.76,651.7,11.3,11.3,10.0,7.0,3.7,2.88,0.0,0.0,3.0,9.0,0.0,1.0,Medium,Medium,False
Unknown Brand,5449000318411,Poms 1.3l,27.6,115.48,6.9,6.3,0.0,0.0,0.0,0.0,20.67,8.27,2.4,5.6,0.06,0.91,Low,Medium,False
Amora,8720182609984,Mayonnaise de Dijon,646.4,2704.54,1.6,1.5,70.0,5.6,1.2,2.6,1.8,0.72,4.0,21.0,68.0,0.94,High,Low,True
Chosen Foods,815074022915,100% Pure Avocado Oil Spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.6,0.0,0.0,Low,Low,False
Jaouda,6111242102590,Soif,81.8,342.25,13.7,0.8,1.4,0.0,2.3,2.6,26.3,10.52,4.0,5.0,0.0,0.06,Low,Low,True
Unknown Brand,6111262385430,Unknown Product,452.2,1892.0,63.0,26.0,19.0,9.0,6.0,2.6,0.4,0.16,4.0,19.8,0.19,0.41,High,High,True
lacasa,8410740905794,trufas,2444496843060.16,10227774791363.71,29.7,11.44,14.92,5.16,7.36,1222248421388.82,18.31,7.32,3.31,9.0,18.08,0.39,High,Medium,False
La Cestera,4056489749516,Tortillas de Trigo 100% integrales,298.4,1248.51,42.0,1.9,8.0,1.4,9.7,9.8,0.88,0.35,4.0,-1.0,0.0,0.05,Medium,Low,True
Harrys,3228857001965,100% mie nature,266.3,1114.2,48.0,7.7,4.3,0.4,7.0,3.8,1.1,0.44,4.0,7.0,4.4,0.16,Medium,Medium,True
Sainsburys,474030,White Sourdough Bloomer,135.7,567.77,24.9,1.5,1.5,0.2,5.1,1.1,0.39,0.16,4.0,2.0,1.12,0.06,Medium,Low,True
Sondey,4056489750666,Galettes de riz complet,385.5,1612.93,78.8,0.7,3.5,0.9,7.6,4.2,0.11,0.04,1.0,-1.0,0.0,0.01,High,Low,False
Plenish,5060362072133,Plenish Barista Organic Almond Drink,31.9,133.47,1.7,1.3,2.1,0.3,1.2,0.7,0.12,0.05,4.0,2.0,4.65,0.76,Low,Low,True
Unknown Brand,5942326402272,AQUA CARPATICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,Low,Low,False
Coca Cola,5942321000046,Cola doza,42.4,177.4,10.6,10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,1.0,Low,Medium,True
Rowan Hill,4056489851370,White pitta bread,249.4,1043.49,48.7,2.7,1.2,0.2,9.6,2.7,0.36,0.14,3.0,1.0,0.0,0.06,Medium,Low,False
"Lätta, Upfield Deutschland",8719200282612,Lätta Halbfettmargarine,363.8,1522.14,1.4,0.5,39.0,11.0,0.5,2.6,0.51,0.2,4.0,9.0,13.62,0.36,High,Low,True
Unknown Brand,6221048407833,Unknown Product,2444496843060.16,10227774791363.71,29.7,11.44,14.92,5.16,7.36,1222248421388.82,18.31,7.32,3.31,9.0,18.08,0.39,High,Medium,False
Unknown Brand,4005808816187,Unknown Product,2444496843060.16,10227774791363.71,29.7,11.44,14.92,5.16,7.36,1222248421388.82,18.31,7.32,3.31,9.0,18.08,0.39,High,Medium,False
Unknown Brand,6111260820766,Unknown Product,2444496843060.16,10227774791363.71,29.7,11.44,14.92,5.16,7.36,1222248421388.82,18.31,7.32,3.31,9.0,18.08,0.39,High,Medium,False
Nestlé,6111018909279,Unknown Product,2444496843060.16,10227774791363.71,29.7,11.44,14.92,5.16,7.36,1222248421388.82,18.31,7.32,3.31,9.0,18.08,0.39,High,Medium,False
Bjorg,3229820780979,Boisson végétale Coco,31.2,130.54,2.4,2.1,1.6,1.4,0.5,2.6,0.09,0.04,4.0,5.0,5.4,0.88,Low,Low,True
TeisseireFruit Shoot,3092718605971,Fruit shoot,26.0,108.78,5.2,5.1,0.0,0.0,0.0,2.6,0.0,0.0,4.0,6.0,10.0,0.98,Low,Medium,True
Charles Vignon,3111902100020,Muesli bio croustillant 3 chocolats,472.2,1975.68,59.0,18.0,20.0,5.5,10.0,8.1,0.02,0.01,3.0,10.0,0.0,0.31,High,High,False
Jardin bio,3478822005249,Ketchup,101.5,424.68,22.0,21.0,0.5,0.1,1.2,2.1,2.3,0.92,3.0,16.0,73.0,0.95,Medium,High,False
"Danone, Jockey, Jockey fruits",3033490613983,Jockey straciatella 120 g x 4,154.5,646.43,18.1,17.6,6.9,4.7,4.9,0.2,0.07,0.03,4.0,8.0,0.0,0.97,Medium,High,True
Vrai,3273220540015,Le nature brebis nature,83.86,350.87,4.0,4.0,4.9,3.9,4.5,2.88,0.1,0.04,3.0,3.0,0.0,1.0,Low,Low,False
Francine,3068110703232,Farine de blé suprême,335.1,1402.06,70.9,0.7,1.1,0.2,8.4,4.0,0.0,0.0,1.0,0.0,0.0,0.01,High,Low,False
Carrefour,3560071157722,Petits pains grilles,111.6,466.93,12.0,2.3,3.8,0.4,7.1,0.5,1.3,0.52,4.0,5.0,2.67,0.19,Medium,Low,True
Belin,3056440083599,Triangolini Sésame,482.6,2019.2,59.0,6.3,22.0,8.8,10.0,4.3,1.98,0.79,4.0,22.0,0.0,0.11,High,Medium,True
"Danone, Danone jockey nature",3033491273827,"Danone fromage blanc 3,2% de mg nature 100 g x 8",80.96,338.74,3.9,3.9,3.2,2.2,7.7,2.88,0.09,0.04,3.0,0.0,0.0,1.0,Low,Low,False
Chabrior,3250391699995,Biscottes complètes x36,375.2,1569.84,63.0,6.4,4.8,0.5,15.0,10.0,1.4,0.56,4.0,6.0,2.8,0.1,High,Medium,True
"Bio Organic,Lidl,Sondey",20884697,Meis Waffeln mit Meersalz Bio,31.62,132.3,5.76,0.03,0.1,0.01,0.48,2.88,0.02,0.01,3.0,3.0,0.0,0.01,Low,Low,False
"Orangina Schweppes, Schweppes",3124480001429,"PET1,5L SCHW.ZERO INDIAN TONIC",5.2,21.76,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,4.0,4.0,0.0,0.0,Low,Low,True
"Chêne d'Argent, Lidl",20024642,Camembert,256.0,1071.1,1.0,0.0,20.0,14.0,18.0,0.0,1.4,0.56,3.0,12.0,0.0,0.0,Medium,Low,False
Tipiak,3165440002919,Couscous moyen,363.6,1521.3,72.0,3.4,1.8,0.3,13.0,3.7,0.0,0.0,3.0,-2.0,0.0,0.05,High,Low,False
"Carrefour, Groupe Carrefour",3270190005100,Sirop de grenadine,332.0,1389.09,83.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,7.2,0.0,0.96,High,High,False
Soignon,3523230019934,Chèvres chauds,296.76,1241.64,1.0,1.0,23.0,16.0,20.0,2.88,1.5,0.6,3.0,13.0,0.0,1.0,Medium,Low,False
"Chabrior, Faissole, Intermarché",3250391774081,Biscottes complètes x36 - BIO,372.6,1558.96,65.0,5.5,3.8,0.5,15.0,9.2,1.3,0.52,4.0,6.0,0.0,0.08,High,Medium,True
"Carrefour BIO,Carrefour",3270190128533,Biscottes,396.0,1656.86,74.0,5.0,5.2,0.6,11.0,4.6,1.3,0.52,4.0,9.0,0.0,0.07,High,Low,True
Carrefour,3560070877546,Le Gourmand Céréales et Graines,289.3,1210.43,48.0,4.4,5.5,0.7,10.0,3.9,0.99,0.4,4.0,3.0,1.05,0.09,Medium,Low,True
Bonne Maman,3178530402995,Tartelettes framboise,422.0,1765.65,73.0,52.0,12.0,5.6,4.2,2.6,0.25,0.1,4.0,26.0,24.3,0.71,High,High,True
"Oasis,Oasis tropical,Orangina Schweppes",3124480235558,Mon Tropical,32.0,133.89,6.6,6.6,0.0,0.0,0.1,2.6,0.0,0.0,4.0,7.0,12.0,1.0,Low,Medium,True
Font Vella,8410055150018,Font Vella,273.62,1144.83,11.18,9.76,21.18,0.92,8.22,2.7,3.08,1.23,1.0,0.0,0.0,0.87,Medium,Medium,False
"CARREFOUR CLASSIC', Carrefour",3560071178345,EMMENTAL Râpé,369.0,1543.9,0.0,0.0,29.0,21.0,27.0,0.0,0.83,0.33,3.0,11.0,0.0,0.0,High,Low,False
Céréal Bio,3175681225091,"Tendres carrés de blé - oignons, pomme de terre, emmental",226.3,946.84,20.0,2.3,9.3,2.2,14.0,3.3,0.9,0.36,4.0,2.0,19.3,0.12,Medium,Low,True
"Kellogg's, Trésor",5053827199469,Céréales Trésor Kellogg's Chocolat Noisettes,437.0,1828.41,69.0,26.0,14.0,3.5,7.0,3.5,1.1,0.44,4.0,19.0,2.58,0.38,High,High,True
Sondey,20132170,Spéculoos,477.9,1999.53,71.9,33.4,18.3,8.5,5.7,1.4,0.79,0.32,3.0,25.0,6.63,0.46,High,High,False
"Marque Repère, Épi d'Or",3564700019276,Pains au chocolat x 8,414.4,1733.85,48.0,13.0,21.0,12.0,7.1,2.5,0.84,0.34,4.0,22.0,0.0,0.27,High,Medium,True
envia,20620400,YAOURT Nature,44.2,184.93,4.8,4.8,1.0,0.6,4.0,0.0,0.14,0.06,1.0,0.0,0.0,1.0,Low,Low,False
"LU, Mikado",3017760628198,Glico Mikado & Go - Chocolat au lait,475.4,1989.07,67.0,34.0,19.0,11.0,7.7,2.8,0.84,0.33,4.0,28.0,0.0,0.51,High,High,True
Lustucru,3038354534008,Riz basmati,350.8,1467.75,77.0,0.1,0.8,0.4,8.7,0.4,0.0,0.0,1.0,7.0,0.0,0.0,High,Low,False
Céréal Bio,3175681137776,Orge & pruneaux a la marocaine,137.4,574.88,19.0,4.7,3.2,0.4,5.6,5.1,0.7,0.28,3.0,1.0,27.95,0.25,Medium,Low,False
"3D's Bugles, BENENUTS, LAYS, PepsiCo",3168930000983,Bénénuts 3D's Bugles Goût bacon,531.8,2225.05,59.0,5.0,30.0,2.7,5.6,1.7,1.7,0.68,4.0,17.0,0.0,0.08,High,Low,True
Alpro,5411188115458,Natur mit Kokosnuss,99.2,415.05,12.64,12.16,2.88,0.64,4.96,1.44,0.22,0.09,4.0,4.0,7.0,0.96,Low,Medium,True
"Bio Village, Marque Repère",3564707108089,Bio village - Miel de Fleurs,320.0,1338.88,80.0,80.0,0.0,0.0,0.0,0.0,0.02,0.01,2.0,19.0,0.0,1.0,High,High,False
Haribo,3103220045640,Schtroumpfs,336.1,1406.24,75.0,43.0,0.5,0.1,6.6,2.6,0.03,0.01,4.0,16.0,1.06,0.57,High,High,True
Francine,3068111752222,Ma levure boulangère,359.0,1502.06,19.0,1.0,7.0,6.0,44.0,22.0,0.75,0.3,4.0,7.0,0.0,0.05,High,Low,True
"Fair,simplement bon et bio",26083827,Chocolat noir bio 70% cacao,565.4,2365.63,35.0,31.0,43.0,26.0,8.3,2.6,0.01,0.0,4.0,25.0,0.0,0.89,High,High,True
Liebig,3036811460365,Velouté 6 légumes bio,28.1,117.57,3.8,2.6,0.9,0.5,0.5,1.4,0.61,0.24,3.0,3.0,48.0,0.68,Low,Low,False
Bjorg,3229820796550,Amande protéines,29.4,123.01,2.6,2.3,1.2,0.2,1.8,0.5,0.08,0.03,4.0,2.0,2.0,0.88,Low,Low,True
