brand,product_code,product_name,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
Ethiquable,3760091727732,Beurre bio cacahuète,622.6,2604.96,13.0,5.8,50.0,6.8,26.0,8.3,0.03,0.01,1.0,-8.0,100.0,0.45,High,Medium,False
Weetabix,5010029000023,Weetabix produit à base de blé complet 100%,362.0,1514.61,69.0,4.2,2.0,0.53,12.0,10.0,0.26,0.1,3.0,-3.0,0.0,0.06,High,Low,False
Vemondo Lidl,4056489346357,Bio-Almond-Mandelmilch,12.8,53.56,0.0,0.0,1.2,0.1,0.5,0.0,0.13,0.05,2.8,1.0,0.0,0.0,Low,Low,False
Fage,5201054017432,5% Greek Yogurt,98.76,413.21,3.0,3.0,5.0,3.6,9.0,2.88,0.1,0.04,3.0,1.0,0.0,1.0,Low,Low,False
Harvest Morn,4088600247519,36 Wheat Bisks,136.8,572.37,26.0,1.7,0.8,0.2,4.5,3.8,0.1,0.04,3.0,-3.0,0.0,0.07,Medium,Low,False
Tesco,5057967395088,Rye & Mixed Seed Sourdough Bread,131.8,551.45,22.0,1.2,2.2,0.4,4.3,3.4,0.38,0.15,3.0,-1.0,0.3,0.05,Medium,Low,False
Coca-Cola Company,90382383,Cappy pulpy,41.2,172.38,9.0,7.0,0.0,0.0,0.0,2.6,0.05,0.02,4.0,12.0,11.61,0.78,Low,Medium,True
Jibal,6111246953679,Unknown Product,122.4,512.12,14.2,10.0,3.8,2.5,6.5,2.7,0.25,0.1,1.0,14.0,0.0,0.7,Medium,Medium,False
La Fournée Dorée,3587220002252,La gâche tranchée,341.6,1429.25,49.0,13.0,12.0,7.4,8.1,2.6,1.12,0.45,4.0,19.0,0.0,0.27,High,Medium,True
Lindt,3046920029780,Excellence Noir Subtil Doux 70% Cacao,596.8,2497.01,33.0,29.0,48.0,29.0,6.9,2.6,0.01,0.0,4.0,25.0,0.0,0.88,High,High,True
Bol&Bol,6111250472241,Bol Bol Ketchup,112.1,469.03,26.0,25.6,0.1,0.0,0.5,2.6,3.6,1.44,4.0,25.0,12.8,0.98,Medium,High,True
Ideal,6111260230619,Tranches Au Goût Cheddar,191.6,801.65,21.0,0.0,8.0,10.0,8.0,1.8,3.25,1.3,2.2,25.0,0.0,0.0,Medium,Low,False
Unknown Brand,6111246651261,Unknown Product,2444496843060.16,10227774791363.71,29.7,11.44,14.92,5.16,7.36,1222248421388.82,18.31,7.32,3.31,9.0,18.08,0.39,High,Medium,False
st hubert,3366321052386,st hubert bio & végétal,500.2,2092.84,0.0,0.0,55.0,20.0,0.0,2.6,0.45,0.18,4.0,13.0,11.22,0.0,High,Low,True
Pringles,5053990101597,Sour Cream & Onion,516.4,2160.62,54.0,0.58,30.0,0.58,6.3,2.6,14.3,5.72,4.0,2.4,0.0,0.01,High,Low,True
Star,6111184003276,Assaisonnement aromatisé au citron,0.4,1.67,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,Low,Low,False
Bjorg,3229820129488,"Muesli Raisin, Figue, Abricot",352.2,1473.6,59.0,14.0,5.8,0.9,11.0,10.0,0.03,0.01,3.0,-2.0,24.5,0.24,High,Medium,False
